;cossim;platform;pred_dtada;pred_dth;pred_svch;pred_agg1;pred_agg2;pred_agg3;checked;category
0;NOCLASS;www.webplaces.com;NOCLASS;TRAINING;THEME;THEME;TRAINING;TRAINING;0;SENGINE
1;NEWS;www.javascript.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;TRAINING
2;BUSINESS;learn.**vanillaJS**.com;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;BUSINESS;0;NOCLASS
3;NEWS;koop4.github.io;NEWS;NEWS;PACKAGE;NEWS;NEWS;NEWS;0;NEWS
4;BUSINESS;insights.dice.com;REPL;NOCLASS;REPL;REPL;REPL;BUSINESS;0;NEWS
5;NEWS;hashnode.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
6;NEWS;codetheory.in;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
7;NEWS;thejackalofjavascript.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
8;NEWS;www.virtuosoft.eu;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;BUSINESS
9;PACKAGE;jamesknelson.com;NEWS;NEWS;PACKAGE;NEWS;NEWS;NEWS;1;NEWS
10;NEWS;davetayls.me;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
11;NEWS;redvinestudio.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;BUSINESS
12;PACKAGE;www.mazda3.ca;PACKAGE;NEWS;PACKAGE;PACKAGE;PACKAGE;NEWS;0;BUSINESS
13;BUSINESS;www.jquery-backstretch.com;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;BUSINESS;1;PACKAGE
14;BUSINESS;phantomjs.org;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE
15;NEWS;www.useragentman.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
16;PACKAGE;foundation.zurb.com;PACKAGE;COMMUITY;PACKAGE;PACKAGE;PACKAGE;COMMUITY;1;PACKAGE
17;NEWS;codyhouse.co;NEWS;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE
18;NEWS;kyusuf.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
19;BUSINESS;js-socials.com;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;BUSINESS;1;PACKAGE
20;PACKAGE;react-etc.net;NEWS;NEWS;PACKAGE;NEWS;NEWS;NEWS;1;NEWS
21;TRAINING;css-infos.net;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;1;TRAINING
22;NEWS;plugins.jquery.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;DOCS
23;NEWS;www.virendrachandak.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
24;NOCLASS;api.musixmatch.com;NOCLASS;NOCLASS;PACKAGE;NOCLASS;NOCLASS;NOCLASS;1;PACKAGE
25;TRAINING;www.html5tutorial.info;NEWS;DOCS;TRAINING;TRAINING;DOCS;DOCS;1;TRAINING
26;NEWS;www.appneta.com;THEME;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
27;THEME;w3c.github.io;NOCLASS;TRAINING;NOCLASS;NOCLASS;TRAINING;TRAINING;0;DOCS
28;NEWS;www.mikedoesweb.com;PACKAGE;PACKAGE;TRAINING;PACKAGE;PACKAGE;PACKAGE;0;NEWS
29;BUSINESS;api.**vanillaJS**.com;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;BUSINESS;1;PACKAGE
30;TRAINING;www.thenetninja.co.uk;TRAINING;TRAINING;NEWS;NEWS;TRAINING;TRAINING;1;NEWS
31;NEWS;www.schillmania.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
32;NEWS;www.mercurynewmedia.com;NEWS;BUSINESS;NEWS;NEWS;NEWS;BUSINESS;1;NEWS
33;TRAINING;www.simplehtmlguide.com;TRAINING;TRAINING;PACKAGE;PACKAGE;TRAINING;TRAINING;1;PACKAGE
34;TRAINING;cdn.cryptowat.ch;PACKAGE;NEWS;PACKAGE;PACKAGE;PACKAGE;NEWS;1;PACKAGE
35;COMMUITY;code.reloado.com;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;COMMUITY;0;REPL
36;PACKAGE;api.**vanillaJS.com**;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;NOCLASS;1;PACKAGE
37;THEME;blogs.quovantis.com;PACKAGE;NOCLASS;NEWS;NEWS;NOCLASS;NOCLASS;1;NEWS
