index;platform;pred_dtada;pred_dth;pred_svch;pred_agg1;checked;searchedcategory;category
140;www.objgen.com;PACKAGE;NOCLASS;NOCLASS;NOCLASS;0;PACKAGE;PACKAGE
141;www.paciellogroup.com;NEWS;BUSINESS;NEWS;NEWS;0;BUSINESS;BUSINESS
142;int.dpool.sina.com.cn;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;NOCLASS;NOCLASS
143;html5brunch6.kenjhpics.com;NOCLASS;NOCLASS;NOCLASS;NOCLASS;0;TRAINING;TRAINING
144;internetingishard.com;TRAINING;TRAINING;TRAINING;TRAINING;1;;TRAINING
145;www.coursera.org;TRAINING;TRAINING;TRAINING;TRAINING;1;;TRAINING
146;primercss.io;NOCLASS;PACKAGE;NOCLASS;NOCLASS;0;PACKAGE;PACKAGE
147;googleapis.com;PACKAGE;NOCLASS;PACKAGE;PACKAGE;1;;PACKAGE
148;www.codelifter.com;NOCLASS;PACKAGE;NOCLASS;NOCLASS;0;PACKAGE;PACKAGE
149;getbootstrap.com.vn;PACKAGE;PACKAGE;NOCLASS;PACKAGE;1;;PACKAGE
150;www.cleancss.com;NEWS;REPL;NEWS;NEWS;0;REPL;REPL
151;hostingfacts.com;NEWS;THEME;NOCLASS;NOCLASS;0;REVIEWS;REVIEWS
152;www.jqueryrain.com;TRAINING;PACKAGE;THEME;THEME;1;;THEME
153;duckduckgo.com;PACKAGE;ECOMMERCE;PACKAGE;PACKAGE;0;SENGINE;SENGINE
154;jslint.com;NOCLASS;PACKAGE;NOCLASS;NOCLASS;0;REPL;REPL
155;html.net;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;TRAINING;TRAINING
156;trumpcss.com;NOCLASS;PACKAGE;NOCLASS;NOCLASS;0;PACKAGE;PACKAGE
157;www.bootstrapcheatsheets.com;NEWS;PACKAGE;NEWS;NEWS;0;THEME;THEME
158;giphy.com;PACKAGE;COMMUITY;PACKAGE;PACKAGE;0;COMMUITY;COMMUITY
159;www.devsaran.com;NEWS;NEWS;NEWS;NEWS;1;;NEWS
160;librosweb.es;NEWS;NEWS;NEWS;NEWS;1;;NEWS
161;programmers.stackexchange.com;NEWS;NEWS;COMMUITY;NEWS;0;DOCS;DOCS
162;notifyjs.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;;PACKAGE
163;h5bp.github.io;NEWS;BUSINESS;PACKAGE;PACKAGE;0;NEWS;NEWS
164;cdb-arts.com;NEWS;NEWS;PACKAGE;NEWS;1;;NEWS
165;www.inserthtml.com;NEWS;NOCLASS;NEWS;NEWS;1;;NEWS
166;fonts.googleapis.come;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;;PACKAGE
167;googleweblight.com;NOCLASS;PACKAGE;NOCLASS;NOCLASS;1;;NOCLASS
168;www.technig.com;PACKAGE;NEWS;NEWS;NEWS;1;;NEWS
169;cssgridgarden.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;REPL;REPL
170;www.differencebtw.com;NOCLASS;NOCLASS;NOCLASS;NOCLASS;0;NEWS;NEWS
171;www.bleepingcomputer.com;NEWS;NEWS;TRAINING;NEWS;1;;NEWS
172;www.chami.com;NEWS;NEWS;NEWS;NEWS;1;;NEWS
173;www.inmotionhosting.com;PACKAGE;TRAINING;TRAINING;TRAINING;0;PAAS;PAAS
174;www.cssnewbie.com;TRAINING;TRAINING;TRAINING;TRAINING;0;NEWS;NEWS
175;stuff-things.net;NOCLASS;PACKAGE;PACKAGE;PACKAGE;0;NEWS;NEWS
176;*.cdnjs.com;NOCLASS;PACKAGE;NOCLASS;NOCLASS;1;;NOCLASS
177;www.wired.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;NEWS;NEWS
178;developers.coveo.com;PACKAGE;DOCS;DOCS;DOCS;1;;DOCS
179;www.simonbattersby.com;NEWS;NEWS;NEWS;NEWS;1;;NEWS
180;www.playfuljs.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;NEWS;NEWS
181;online.reacttraining.com;NOCLASS;PACKAGE;NOCLASS;NOCLASS;0;TRAINING;TRAINING
182;jstherightway.org;NOCLASS;PACKAGE;NOCLASS;NOCLASS;0;TRAINING;TRAINING
183;drafts.csswg.org;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;DOCS;DOCS
184;www.hackerrank.com;NEWS;TRAINING;TRAINING;TRAINING;1;;TRAINING
185;www.weareconvoy.com;PACKAGE;NEWS;NEWS;NEWS;1;;NEWS
186;search.yahoo.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;SENGINE;SENGINE
187;www.pagetutor.com;TRAINING;TRAINING;TRAINING;TRAINING;1;;TRAINING
188;ahmedtarek2134.github.io;PACKAGE;DOCS;NEWS;NEWS;1;;NEWS
189;jsonformatter.curiousconcept.com;PACKAGE;NOCLASS;PACKAGE;PACKAGE;0;REPL;REPL
190;stackoverflow.com;TRAINING;THEME;NEWS;NEWS;0;COMMUITY;COMMUITY
191;recalll.co;PACKAGE;COMMUITY;PACKAGE;PACKAGE;0;NEWS;NEWS
192;www.ostraining.com;NEWS;NEWS;TRAINING;NEWS;0;TRAINING;TRAINING
193;www.textfixer.com;NOCLASS;NOCLASS;NOCLASS;NOCLASS;0;REPL;REPL
194;cypressnorth.com;NEWS;NEWS;NEWS;NEWS;0;BUSINESS;BUSINESS
195;cssanimation.rocks;TRAINING;TRAINING;TRAINING;TRAINING;1;;TRAINING
196;thewebivore.com;NEWS;PACKAGE;PACKAGE;PACKAGE;0;NEWS;NEWS
197;www.jquery-tutorial.net;NEWS;NEWS;NOCLASS;NEWS;0;TRAINING;TRAINING
198;javascriptisnotjava.io;NOCLASS;PACKAGE;NOCLASS;NOCLASS;0;NEWS;NEWS
199;softwareengineering.stackexchange.com;COMMUITY;COMMUITY;COMMUITY;COMMUITY;1;;COMMUITY
200;getflywheel.com;NEWS;NEWS;NEWS;NEWS;0;PAAS;PAAS
201;www.adityaravishankar.com;NOCLASS;NEWS;NEWS;NEWS;1;;NEWS
202;csscreator.com;NEWS;NEWS;NEWS;NEWS;0;THEME;THEME
203;madebymike.com.au;NEWS;NEWS;NEWS;NEWS;1;;NEWS
204;multi-level-push-menu.make.rs;THEME;NOCLASS;NOCLASS;NOCLASS;0;PACKAGE;PACKAGE
205;carlsapty.com;NOCLASS;NOCLASS;NOCLASS;NOCLASS;0;TRAINING;TRAINING
206;jigsaw.w3.org;THEME;BUSINESS;NEWS;NEWS;0;PAAS;PAAS
207;netdna.bootstrapcdn;NOCLASS;PACKAGE;NOCLASS;NOCLASS;0;PACKAGE;PACKAGE
208;www.hackschool.disasterhack.org;NEWS;NEWS;NEWS;NEWS;0;TRAINING;TRAINING
209;www.frontendjournal.com;NEWS;NEWS;NEWS;NEWS;1;;NEWS
210;www.webbykat.com;NEWS;THEME;NOCLASS;NOCLASS;0;PACKAGE;PACKAGE
211;cssdeck.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;THEME;THEME
212;jquery-howto.blogspot.com;NEWS;NEWS;NEWS;NEWS;1;;NEWS
213;www.tjvantoll.com;NEWS;NEWS;NEWS;NEWS;1;;NEWS
214;graygrids.com;NEWS;NEWS;THEME;NEWS;1;;NEWS
215;cdn.optimizely.com;NOCLASS;NOCLASS;PACKAGE;NOCLASS;0;PACKAGE;PACKAGE
216;courses.nodecasts.io;TRAINING;TRAINING;TRAINING;TRAINING;1;;TRAINING
217;canvasjs.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;;PACKAGE
218;blog.creative-tim.com;NEWS;NEWS;NEWS;NEWS;1;;NEWS
219;www.webpagefx.com;NOCLASS;NOCLASS;NOCLASS;NOCLASS;0;BUSINESS;BUSINESS
220;my-html-codes.com;NOCLASS;TRAINING;NOCLASS;NOCLASS;0;NEWS;NEWS
221;hastebin.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;REPL;REPL
222;www.jsweet.org;PACKAGE;NEWS;PACKAGE;PACKAGE;0;REPL;REPL
223;colorlib.com;NEWS;NEWS;NEWS;NEWS;0;PACKAGE;PACKAGE
224;apress.jensimmons.com;NOCLASS;NOCLASS;NOCLASS;NOCLASS;1;;NOCLASS
225;www.epconcommunities.com;NOCLASS;PACKAGE;NOCLASS;NOCLASS;1;;NOCLASS
226;www.webmasterworld.com;PACKAGE;NEWS;PACKAGE;PACKAGE;0;NEWS;NEWS
227;www.javascriptfreecode.com;PACKAGE;PACKAGE;NOCLASS;PACKAGE;0;THEME;THEME
228;wernull.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;NEWS;NEWS
229;www.upwork.com;NEWS;NEWS;PACKAGE;NEWS;0;BUSINESS;BUSINESS
230;barbaraambach.com;PACKAGE;NOCLASS;NOCLASS;NOCLASS;0;NEWS;NEWS
231;slytherjack.comxa.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;PAAS;PAAS
232;www.reddit.com;PACKAGE;NEWS;NOCLASS;NOCLASS;0;COMMUITY;COMMUITY
233;theme.nileforest.com;NOCLASS;NOCLASS;NOCLASS;NOCLASS;0;THEME;THEME
234;www.eriwen.com;NEWS;NEWS;NEWS;NEWS;1;;NEWS
235;production-assets.codepen.io;NEWS;NEWS;NEWS;NEWS;0;DOCS;DOCS
236;www.myhtmltutorials.com;NOCLASS;NOCLASS;NOCLASS;NOCLASS;0;TRAINING;TRAINING
237;www.1keydata.com;TRAINING;TRAINING;TRAINING;TRAINING;1;;TRAINING
238;tangledindesign.com;NOCLASS;COMMUITY;THEME;THEME;1;;THEME
239;resizing.flixster.com;NOCLASS;PACKAGE;NOCLASS;NOCLASS;0;REPL;REPL
240;www.wmyl.se;NEWS;NEWS;NEWS;NEWS;0;BUSINESS;BUSINESS
241;ffrkitalia.altervista.org;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;NEWS;NEWS
242;fonts.gdgdocs.org;PACKAGE;NOCLASS;PACKAGE;PACKAGE;0;THEME;THEME
243;coloreminder.com;NOCLASS;REPL;NOCLASS;NOCLASS;0;REPL;REPL
244;pastebin.com;PACKAGE;THEME;REPL;REPL;1;;REPL
245;www.cssscripts.com;NOCLASS;PACKAGE;NOCLASS;NOCLASS;1;;NOCLASS
246;apps.workflower.fi;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;;PACKAGE
247;css4-selectors.com;NOCLASS;PACKAGE;NOCLASS;NOCLASS;0;THEME;THEME
248;flag-icon-css.lip.is;NOCLASS;PACKAGE;NOCLASS;NOCLASS;0;THEME;THEME
249;reference.sitepoint.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;NEWS;NEWS
250;www.danstools.com;NEWS;NEWS;NEWS;NEWS;0;REPL;REPL
251;semantic;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;NOCLASS;NOCLASS
252;mashupguide.net;NOCLASS;NOCLASS;NOCLASS;NOCLASS;0;TRAINING;TRAINING
253;csslint.net;NOCLASS;PACKAGE;NOCLASS;NOCLASS;0;REPL;REPL
254;zapier.com;NEWS;TRAINING;TRAINING;TRAINING;0;PACKAGE;PACKAGE
255;gomakethings.com;TRAINING;TRAINING;NEWS;NEWS;0;TRAINING;TRAINING
256;rgb.to;NOCLASS;NOCLASS;NOCLASS;NOCLASS;0;REPL;REPL
257;forum.ionicframework.com;NEWS;NEWS;NEWS;NEWS;0;COMMUITY;COMMUITY
