;cossim;platform;pred_dtada;pred_dth;pred_svch;pred_agg1;pred_agg2;pred_agg3;checked;category
25;PACKAGE;api.ai;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE
26;PACKAGE;github.com;PAAS;DOCS;NEWS;NEWS;DOCS;DOCS;0;PAAS
27;BUSINESS;aaronmassey.pro;NOCLASS;NEWS;NOCLASS;NOCLASS;NOCLASS;BUSINESS;0;NOCLASS
28;PACKAGE;dribbble.com;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE
29;SENGINE;www.seek.com.au;THEME;THEME;NEWS;THEME;THEME;SENGINE;0;SENGINE
30;BUSINESS;marketplace.visualstudio.com;TRAINING;DOCS;TRAINING;TRAINING;TRAINING;BUSINESS;0;BUSINESS
31;PACKAGE;www.grapecity.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE
32;TRAINING;dash.generalassemb.ly;TRAINING;REPL;TRAINING;TRAINING;TRAINING;REPL;1;TRAINING
33;NOCLASS;www.gravit.io;NOCLASS;PACKAGE;NOCLASS;NOCLASS;NOCLASS;PACKAGE;0;NOCLASS
34;PACKAGE;datacard.io;NOCLASS;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE
35;NEWS;lifehacker.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;NEWS
36;NEWS;arstechnica.com;NEWS;PACKAGE;NEWS;NEWS;NEWS;PACKAGE;1;NEWS
37;THEME;www.html5rocks.com;PACKAGE;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS
38;NEWS;www.girliemac.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS
39;NEWS;www.digitaljournal.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS
40;NEWS;florin-pop.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS
41;TRAINING;education.github.com;TRAINING;PACKAGE;TRAINING;TRAINING;TRAINING;PACKAGE;0;TRAINING
42;PACKAGE;www.codingpedia.org;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE
43;TRAINING;flexbox.io;NEWS;NEWS;PACKAGE;NEWS;NEWS;NEWS;0;PACKAGE
44;TRAINING;www.howtographql.com;TRAINING;PACKAGE;TRAINING;TRAINING;TRAINING;PACKAGE;0;TRAINING
45;NOCLASS;www.google.com;PACKAGE;NEWS;NOCLASS;NOCLASS;NEWS;NEWS;1;SENGINE
46;TRAINING;www.flaticon.com;NOCLASS;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;1;THEME
47;NEWS;www.grammarly.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS
48;THEME;specificity.keegan.st;NEWS;NEWS;THEME;NEWS;NEWS;NEWS;1;REPL
49;PACKAGE;kenwheeler.github.io;NOCLASS;PACKAGE;NOCLASS;NOCLASS;NOCLASS;PACKAGE;0;NOCLASS
50;NEWS;cheesecakelabs.com;NEWS;DOCS;TRAINING;TRAINING;DOCS;DOCS;1;BUSINESS
51;NEWS;avocode.com;NEWS;NEWS;NOCLASS;NEWS;NEWS;NEWS;0;NEWS
52;TRAINING;learnopengl.com;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;0;TRAINING
53;TRAINING;valerakushnir.com;TRAINING;PACKAGE;TRAINING;TRAINING;TRAINING;PACKAGE;1;NEWS
54;NEWS;codepen.io;PACKAGE;NEWS;NEWS;NEWS;NEWS;NEWS;0;REPL
55;PACKAGE;creddle.io;NOCLASS;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE
56;DOCS;angel.co;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;COMMUITY
57;TRAINING;courses.edx.org;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;0;TRAINING
58;NEWS;zeplin.io;PACKAGE;PACKAGE;REPL;PACKAGE;PACKAGE;PACKAGE;1;REPL
59;TRAINING;arkmont.com;TRAINING;NEWS;TRAINING;TRAINING;TRAINING;NEWS;1;TRAINING
60;PACKAGE;strava.github.io;PACKAGE;PACKAGE;NEWS;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE
61;PACKAGE;represent.io;PACKAGE;PACKAGE;NEWS;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE
62;NEWS;pragprog.com;TRAINING;TRAINING;NEWS;NEWS;TRAINING;TRAINING;1;BUSINESS
63;THEME;erikflowers.github.io;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;NOCLASS
64;NOCLASS;af-quotes-api.herokuapp.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE
65;NEWS;sub.watchmecode.net;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS
66;PAAS;aws.amazon.com;NEWS;DOCS;NOCLASS;NOCLASS;DOCS;PAAS;0;PAAS
67;SENGINE;www.learnersdictionary.com;PACKAGE;DOCS;NOCLASS;NOCLASS;DOCS;SENGINE;1;SENGINE
68;BUSINESS;www.donut.ai;PACKAGE;ECOMMERCE;PACKAGE;PACKAGE;PACKAGE;BUSINESS;0;BUSINESS
69;PAAS;www.strava.com;PACKAGE;PAAS;PACKAGE;PACKAGE;PACKAGE;PAAS;1;PACKAGE
70;TRAINING;try.github.io;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;0;TRAINING
71;NEWS;frontendhappyhour.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;NEWS
72;REPL;www.orl.bc.ca;REPL;PACKAGE;PACKAGE;PACKAGE;PACKAGE;REPL;1;BUSINESS
73;NEWS;webfieldmanual.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
74;TRAINING;bots.duolingo.com;TRAINING;PACKAGE;TRAINING;TRAINING;TRAINING;PACKAGE;0;TRAINING
75;NEWS;www.grabient.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS
76;BUSINESS;blog.devcenter.co;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS
77;NEWS;blog.screenhero.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS
78;TRAINING;www.hackingwithreact.com;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;0;TRAINING
79;NEWS;firebase.googleblog.com;NEWS;TRAINING;NEWS;NEWS;TRAINING;TRAINING;0;NEWS
80;PACKAGE;calendly.com;PACKAGE;PACKAGE;REPL;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE
81;NEWS;remotejunior.com;PACKAGE;NEWS;TRAINING;TRAINING;NEWS;NEWS;1;COMMUITY
82;PAAS;www.dramafever.com;NEWS;PACKAGE;NEWS;NEWS;NEWS;PAAS;0;NEWS
83;NEWS;bradfrost.github.io;NOCLASS;BUSINESS;NEWS;NEWS;BUSINESS;BUSINESS;1;NOCLASS
84;NOCLASS;www.flexboxdefense.com;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE
85;PACKAGE;cheerio.js.org;PACKAGE;NEWS;PACKAGE;PACKAGE;PACKAGE;NEWS;0;PACKAGE
86;TRAINING;lingvist.com;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;0;TRAINING
87;NOCLASS;erikbern.com;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS;0;NOCLASS
88;TRAINING;projecteuler.net;TRAINING;PACKAGE;TRAINING;TRAINING;TRAINING;PACKAGE;0;TRAINING
89;REPL;codeanywhere.com;NEWS;DOCS;REPL;REPL;DOCS;REPL;0;REPL
90;PACKAGE;b-ok.org;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;SENGINE
91;NEWS;collectui.com;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;1;THEME
92;NEWS;msdn.microsoft.com;PACKAGE;PACKAGE;TRAINING;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE
93;NOCLASS;www.getwox.com;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE
94;TRAINING;dev.to;NEWS;DOCS;DOCS;DOCS;DOCS;DOCS;0;NEWS
95;PACKAGE;socket.io;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE
96;DOCS;alex-d.github.io;DOCS;DOCS;NEWS;DOCS;DOCS;DOCS;1;NOCLASS
97;TRAINING;learn.handlebarlabs.com;PACKAGE;DOCS;DOCS;DOCS;DOCS;DOCS;0;TRAINING
98;NEWS;remote.com;TRAINING;NEWS;NEWS;NEWS;NEWS;NEWS;1;BUSINESS
99;NOCLASS;www.slate.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS
100;PACKAGE;hyper.is;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE
101;NEWS;developer.apple.com;NOCLASS;DOCS;NOCLASS;NOCLASS;NOCLASS;DOCS;0;DOCS
102;DOCS;motherboard.vice.com;DOCS;NEWS;DOCS;DOCS;DOCS;DOCS;0;DOCS
103;PACKAGE;fontpair.co;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE
104;NEWS;help.github.com;NEWS;NEWS;DOCS;NEWS;NEWS;NEWS;1;COMMUITY
105;DOCS;docs.mongodb.com;DOCS;DOCS;DOCS;DOCS;DOCS;DOCS;0;DOCS
106;BUSINESS;www.nytimes.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS
