;cossim;platform;pred_dtada;pred_dth;pred_svch;pred_agg1;pred_agg2;pred_agg3;checked;category
0;TRAINING;andrewhfarmer.com;TRAINING;NEWS;TRAINING;TRAINING;TRAINING;NEWS;0;TRAINING
1;TRAINING;webpack.academy;TRAINING;NEWS;TRAINING;TRAINING;TRAINING;NEWS;0;TRAINING
2;DOCS;git-scm.com;NOCLASS;PACKAGE;PACKAGE;PACKAGE;PACKAGE;DOCS;1;PACKAGE
3;TRAINING;devopscube.com;THEME;PAAS;TRAINING;TRAINING;PAAS;PAAS;1;NEWS
4;DOCS;firebase.google.com;PACKAGE;DOCS;PACKAGE;PACKAGE;PACKAGE;DOCS;0;PAAS
5;TRAINING;www.robinwieruch.de;TRAINING;DOCS;TRAINING;TRAINING;TRAINING;DOCS;0;TRAINING
6;TRAINING;www.reactenlightenment.com;PACKAGE;DOCS;TRAINING;TRAINING;DOCS;DOCS;0;TRAINING
7;DOCS;hyperledger-fabric.readthedocs.io;PACKAGE;NOCLASS;NOCLASS;NOCLASS;NOCLASS;DOCS;0;PACKAGE
8;PACKAGE;healthy.io;NOCLASS;NEWS;PACKAGE;PACKAGE;NEWS;NEWS;1;PACKAGE
9;PACKAGE;docs.docker.com;PACKAGE;DOCS;PACKAGE;PACKAGE;PACKAGE;DOCS;0;DOCS
10;NEWS;blog.patricktriest.com;TRAINING;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS
11;PAAS;drive.google.com;PACKAGE;THEME;NEWS;NEWS;THEME;PAAS;0;PAAS
12;NEWS;web.paperbot.ai;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS
13;PACKAGE;www.cnbc.com;PACKAGE;NEWS;TRAINING;TRAINING;NEWS;NEWS;1;NEWS
14;PAAS;browsershots.org;TRAINING;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PAAS;0;PACKAGE
15;NOCLASS;www.codeabbey.com;NOCLASS;PACKAGE;NOCLASS;NOCLASS;NOCLASS;PACKAGE;0;NOCLASS
16;TRAINING;play.google.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;BUSINESS
17;BUSINESS;www.bitrise.io;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE
18;NEWS;blog.mapbox.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS
19;NOCLASS;www.toolsday.io;NEWS;NEWS;NOCLASS;NEWS;NEWS;NEWS;0;NEWS
20;NEWS;www.boost.co.nz;NEWS;BUSINESS;NEWS;NEWS;NEWS;BUSINESS;1;BUSINESS
21;DOCS;therecipebox.com;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;DOCS;0;PACKAGE
22;NOCLASS;cors-everywhere.herokuapp.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE
23;PAAS;brainbuffet.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;TRAINING
24;NOCLASS;www.fiastarta.com;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;1;NOCLASS
