;cossim;platform;pred_dtada;pred_dth;pred_svch;pred_agg1;pred_agg2;pred_agg3;checked;category
0;NEWS;performancejs.com;NEWS;PACKAGE;NEWS;NEWS;NEWS;PACKAGE;1;NEWS
1;NEWS;honestdot.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
2;BUSINESS;www.syncfusion.com;NEWS;NEWS;BUSINESS;NEWS;NEWS;BUSINESS;1;BUSINESS
3;NOCLASS;wind-bow.glitch.me;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS;1;NOCLASS
4;NEWS;smacss.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
5;TRAINING;www.hscripts.com;PACKAGE;NEWS;TRAINING;TRAINING;NEWS;NEWS;1;TRAINING
6;NEWS;stateofjs.com;NEWS;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE
7;NEWS;www.williammalone.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
8;REVIEWS;ru.wikipedia.org;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;COMMUITY
9;TRAINING;www.thoughtco.com;NOCLASS;NEWS;TRAINING;TRAINING;NEWS;NEWS;1;TRAINING
10;PACKAGE;react-bootstrap.github.io;NEWS;PACKAGE;NEWS;NEWS;NEWS;PACKAGE;0;PACKAGE
11;NEWS;ourcodeworld.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
12;PACKAGE;www.crhallberg.com;NOCLASS;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;NEWS
13;THEME;code.divshot.com;NEWS;NEWS;NOCLASS;NEWS;NEWS;NEWS;0;THEME
14;NOCLASS;gleapis.com;NOCLASS;NEWS;NOCLASS;NOCLASS;NOCLASS;NEWS;1;NOCLASS
15;NOCLASS;ascii.cl;PACKAGE;NEWS;THEME;THEME;NEWS;NEWS;0;THEME
16;NOCLASS;html.spec.whatwg.org;NOCLASS;NOCLASS;TRAINING;NOCLASS;NOCLASS;NOCLASS;1;TRAINING
17;NEWS;t3n.de;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
18;NOCLASS;fcc-weather-api.glitch.me;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;0;NOCLASS
19;TRAINING;madoxweb.com;NEWS;NEWS;PACKAGE;NEWS;NEWS;NEWS;1;NEWS
20;PACKAGE;nodesource.com;NEWS;NEWS;PACKAGE;NEWS;NEWS;NEWS;1;NEWS
21;NEWS;tinyurl.com;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS;0;REPL
22;NEWS;liveweave.com;NEWS;PACKAGE;NEWS;NEWS;NEWS;PACKAGE;0;REPL
23;DOCS;www.concretepage.com;PACKAGE;NOCLASS;NEWS;NEWS;NOCLASS;DOCS;0;NEWS
24;PACKAGE;preactjs.com;REPL;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE
25;NOCLASS;the http:;NOCLASS;NEWS;NOCLASS;NOCLASS;NOCLASS;NEWS;1;NOCLASS
