platform;assignedcategory;checked;category
jsperf.com;NEWS;-1; 
www.simpleweatherjs.com;PACKAGE;-1; 
learn.knockoutjs.com;PACKAGE;0;TRAINING
ampersandjs.com;NEWS;0;PACKAGE
code-maven.com;PACKAGE;-1; 
paulund.co.uk;TRAINING;-1; 
udemy.com;TRAINING;1;TRAINING
www.htmlgoodies.com;TRAINING;-1; 
james.padolsey.com;NEWS;1;NEWS
onlinehelp.tableau.com;PACKAGE;0;COMMUITY
www.nczonline.net;NEWS;-1; 
www.sebarmeli.com;NEWS;-1; 
www.codeconquest.com;TRAINING;-1; 
jsfidle.net;PACKAGE;0;REPL
en.wikibooks.org;NEWS;1;NEWS
embed.plnkr.co;PACKAGE;-1; 
gulpjs.com;PACKAGE;1;PACKAGE
www.metaweather.com;PACKAGE;1;PACKAGE
www.java.com;NEWS;1;NEWS
jscompress.com;NEWS;-1; 
www.similartech.com;NEWS;-1; 
www.reactjsprogram.com;NEWS;-1; 
www.dropbox.com;PACKAGE;0;PAAS
myjson.com;PACKAGE;-1; 
www.createjs.com;NEWS;-1; 
idhana.com;NEWS;-1; 
webcheatsheet.com;TRAINING;-1; 
trac.webkit.org;PACKAGE;-1; 
www.nfriedly.com;NEWS;-1; 
defiantjs.com;NEWS;-1; 
www.eloquentjavascript.com;NEWS;1;NEWS
www.dajonline.net;PACKAGE;-1; 
tylerreckart.com;NEWS;-1; 
www.dofactory.com;NEWS;-1; 
javascript.tutorialhorizon.com;NEWS;0;TRAINING
codingpen.com;PACKAGE;-1; 
www.competa.com;NEWS;-1; 
www.goodreads.com;NEWS;-1; 
gitthub.com;PACKAGE;-1; 
koccloud.comeze.com;NOCLASS;1;NOCLASS
www.bennadel.com;NEWS;-1; 
theoryapp.com;PACKAGE;-1; 
backbonejs.org;PACKAGE;1;PACKAGE
functionaljs.com;NEWS;-1; 
silentmatt.com;NEWS;-1; 
autocomplete-js.com;PACKAGE;1;PACKAGE
blog.pivotal.io;DOCS;0;NEWS
passportjs.org;PACKAGE;1;PACKAGE
orizens.com;NEWS;-1; 
inventwithpython.com;NEWS;-1; 
www.templatemonster.com;NEWS;0;THEME
issuu.com;NEWS;-1; 
developer.yahoo.com;NEWS;0;DOCS
josephscott.org;NEWS;1;NEWS
riotjs.com;TRAINING;-1; 
developer.wordpress.com;DOCS;1;DOCS
screencast.com;PACKAGE;-1; 
qunitjs.com;NEWS;-1; 
css-plus.com;NEWS;-1; 
magic.reactjs.net;PACKAGE;-1; 
noeticforce.com;TRAINING;-1; 
www.daniweb.com;NEWS;-1; 
broccolijs.com;PACKAGE;1;PACKAGE
atendesigngroup.com;NEWS;-1; 
www.jasny.net;NEWS;-1; 
www.hotjs.net;NEWS;-1; 
developer.chrome.com;PACKAGE;0;DOCS
www.selftaughtjs.com;TRAINING;1;TRAINING
blog.victorquinn.com;NEWS;1;NEWS
www.appcelerator.com;NEWS;-1; 
json.org;TRAINING;-1; 
www.echojs.com;NEWS;-1; 
tproger.ru;PACKAGE;-1; 
learn.javascript.ru;NEWS;0;TRAINING
labs.bible.org;PACKAGE;-1; 
svgjs.com;PACKAGE;1;PACKAGE
codetype.wordpress.com;NEWS;1;NEWS
jsonprettyprint.com;PACKAGE;-1; 
tylermcginnis.com;TRAINING;-1; 
3dmdesign.com;NEWS;-1; 
fwd-studio.pt;PACKAGE;-1; 
www.bloggingdeveloper.com;NEWS;-1; 
cors.io;PACKAGE;1;PACKAGE
cjihrig.com;PACKAGE;-1; 
gonzalo123.com;PACKAGE;0;NEWS
eddmann.com;NEWS;-1; 
nodejs.orh;PACKAGE;-1; 
www.hackreactor.com;TRAINING;1;TRAINING
forgetcode.com;NEWS;-1; 
unmatchedstyle.com;NEWS;-1; 
freewebdesigntutorials.com;TRAINING;1;TRAINING
www.thesitewizard.com;TRAINING;1;TRAINING
regex101.com;PACKAGE;0;REPL
reallifejs.com;TRAINING;-1; 
ameijer.nl;NEWS;-1; 
brutusin.org;PACKAGE;-1; 
www.javatpoint.com;TRAINING;-1; 
www.wikihow.com;TRAINING;-1; 
todomvc.com;PACKAGE;-1; 
knexjs.org;NEWS;-1; 
www.w3school.com.cn;PACKAGE;0;TRAINING
handlebarsjs.com;PACKAGE;1;PACKAGE
codeblind.org;NEWS;-1; 
quokkajs.com;NEWS;-1; 
gregfranko.com;NEWS;-1; 
underscorejs.org;PACKAGE;1;PACKAGE
togetherjs.com;PACKAGE;1;PACKAGE
evan17gr.github.io;NEWS;1;NEWS
www.learningjquery.com;NEWS;0;TRAINING
blog.carbonfive.com;NEWS;1;NEWS
jonathanfine.wordpress.com;PACKAGE;1;PACKAGE
javascriptsolution.com;NEWS;-1; 
greensock.com;NEWS;-1; 
JSBin.com;REPL;1;REPL
javascriptrefined.io;NEWS;-1; 
themarklee.com;PACKAGE;-1; 
leanpub.com;PACKAGE;0;ECOMMERCE
www.turnjs.com;NEWS;-1; 
earthquake.usgs.gov;PACKAGE;1;PACKAGE
www.intertech.com;NEWS;-1; 
www.copterlabs.com;NEWS;-1; 
learn.shayhowe.com.s3-website-us-east-1.amazonaws.com;PACKAGE;-1; 
mothereff.in;NEWS;-1; 
reactfordesigners.com;NEWS;1;NEWS
www.tutorial4us.com;NEWS;0;TRAINING
www.diveintojavascript.com;TRAINING;1;TRAINING
dsernst.com;NEWS;-1; 
benalman.com;PACKAGE;-1; 
blogs.4ward.it;PACKAGE;0;NEWS
bootboxjs.com;PACKAGE;1;PACKAGE
www.tutorialspark.com;TRAINING;1;TRAINING
hacks.mozilla.org;NEWS;-1; 
www.programmerinterview.com;NEWS;0;TRAINING
joelhooks.com;NEWS;-1; 
magentohostsolution.com;PACKAGE;-1; 
owapi.net;PACKAGE;-1; 
12devs.co.uk;NEWS;-1; 
presentations.survivejs.com;PACKAGE;0;TRAINING
