;cossim;platform;pred_dtada;pred_dth;pred_svch;pred_agg1;pred_agg2;pred_agg3;checked;category;cossim;pred_dtada;pred_dth;pred_svch;pred_agg1;pred_agg2;pred_agg3;average reliability
39;NEWS;www.digitaljournal.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS;1;1;1;1;1;1;1;100.00%
40;NEWS;florin-pop.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS;1;1;1;1;1;1;1;100.00%
41;TRAINING;education.github.com;TRAINING;PACKAGE;TRAINING;TRAINING;TRAINING;PACKAGE;0;TRAINING;1;1;0;1;1;1;0;71.43%
42;PACKAGE;www.codingpedia.org;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE;1;1;1;1;1;1;1;100.00%
43;TRAINING;flexbox.io;NEWS;NEWS;PACKAGE;NEWS;NEWS;NEWS;0;PACKAGE;0;0;0;1;0;0;0;14.29%
44;TRAINING;www.howtographql.com;TRAINING;PACKAGE;TRAINING;TRAINING;TRAINING;PACKAGE;0;TRAINING;1;1;0;1;1;1;0;71.43%
45;NOCLASS;www.google.com;PACKAGE;NEWS;NOCLASS;NOCLASS;NEWS;NEWS;;;0;0;0;0;0;0;0;0.00%
46;TRAINING;www.flaticon.com;NOCLASS;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;;;0;0;0;0;0;0;0;0.00%
47;NEWS;www.grammarly.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS;1;1;1;1;1;1;1;100.00%
48;THEME;specificity.keegan.st;NEWS;NEWS;THEME;NEWS;NEWS;NEWS;;;0;0;0;0;0;0;0;0.00%
49;PACKAGE;kenwheeler.github.io;NOCLASS;PACKAGE;NOCLASS;NOCLASS;NOCLASS;PACKAGE;0;NOCLASS;0;1;0;1;1;1;0;57.14%
50;NEWS;cheesecakelabs.com;NEWS;DOCS;TRAINING;TRAINING;DOCS;DOCS;;;0;0;0;0;0;0;0;0.00%
51;NEWS;avocode.com;NEWS;NEWS;NOCLASS;NEWS;NEWS;NEWS;0;NEWS;1;1;1;0;1;1;1;85.71%
52;TRAINING;learnopengl.com;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;0;TRAINING;1;1;1;1;1;1;1;100.00%
53;TRAINING;valerakushnir.com;TRAINING;PACKAGE;TRAINING;TRAINING;TRAINING;PACKAGE;;;0;0;0;0;0;0;0;0.00%
54;NEWS;codepen.io;PACKAGE;NEWS;NEWS;NEWS;NEWS;NEWS;1;REPL;0;0;0;0;0;0;0;0.00%
55;PACKAGE;creddle.io;NOCLASS;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;;;0;0;0;0;0;0;0;0.00%
56;DOCS;angel.co;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;;;0;0;0;0;0;0;0;0.00%
57;TRAINING;courses.edx.org;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;0;TRAINING;1;1;1;1;1;1;1;100.00%
58;NEWS;zeplin.io;PACKAGE;PACKAGE;REPL;PACKAGE;PACKAGE;PACKAGE;1;REPL;0;0;0;1;0;0;0;14.29%
59;TRAINING;arkmont.com;TRAINING;NEWS;TRAINING;TRAINING;TRAINING;NEWS;1;TRAINING;1;1;0;1;1;1;0;71.43%
60;PACKAGE;strava.github.io;PACKAGE;PACKAGE;NEWS;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE;1;1;1;0;1;1;1;85.71%
61;PACKAGE;represent.io;PACKAGE;PACKAGE;NEWS;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE;1;1;1;0;1;1;1;85.71%
62;NEWS;pragprog.com;TRAINING;TRAINING;NEWS;NEWS;TRAINING;TRAINING;1;BUSINESS;0;0;0;0;0;0;0;0.00%
63;THEME;erikflowers.github.io;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;NOCLASS;0;0;0;0;0;0;0;0.00%
64;NOCLASS;af-quotes-api.herokuapp.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;0;PACKAGE;0;1;1;1;1;1;1;85.71%
65;NEWS;sub.watchmecode.net;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS;1;1;1;1;1;1;1;100.00%
66;PAAS;aws.amazon.com;NEWS;DOCS;NOCLASS;NOCLASS;DOCS;PAAS;0;PAAS;1;0;0;0;0;0;1;28.57%
67;SENGINE;www.learnersdictionary.com;PACKAGE;DOCS;NOCLASS;NOCLASS;DOCS;SENGINE;1;SENGINE;1;0;0;0;0;0;1;28.57%
68;BUSINESS;www.donut.ai;PACKAGE;ECOMMERCE;PACKAGE;PACKAGE;PACKAGE;BUSINESS;0;ECOMMERCE;0;0;1;0;0;0;0;14.29%
69;PAAS;www.strava.com;PACKAGE;PAAS;PACKAGE;PACKAGE;PACKAGE;PAAS;1;PACKAGE;0;1;0;1;1;1;0;57.14%
70;TRAINING;try.github.io;PACKAGE;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;0;TRAINING;1;0;0;0;0;0;0;14.29%
71;NEWS;frontendhappyhour.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;NEWS;1;0;0;0;0;0;0;14.29%
72;REPL;www.orl.bc.ca;REPL;PACKAGE;PACKAGE;PACKAGE;PACKAGE;REPL;1;BUSINESS;0;0;0;0;0;0;0;0.00%
73;NEWS;webfieldmanual.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS;1;1;1;1;1;1;1;100.00%
74;TRAINING;bots.duolingo.com;TRAINING;PACKAGE;TRAINING;TRAINING;TRAINING;PACKAGE;0;TRAINING;1;1;0;1;1;1;0;71.43%
75;NEWS;www.grabient.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS;1;1;1;1;1;1;1;100.00%
76;BUSINESS;blog.devcenter.co;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS;0;1;1;1;1;1;1;85.71%
77;NEWS;blog.screenhero.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;NEWS;1;1;1;1;1;1;1;100.00%
78;TRAINING;www.hackingwithreact.com;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;TRAINING;0;TRAINING;1;1;1;1;1;1;1;100.00%
79;NEWS;firebase.googleblog.com;NEWS;TRAINING;NEWS;NEWS;TRAINING;TRAINING;0;NEWS;1;1;0;1;1;0;0;57.14%
