;cossim;platform;pred_dtada;pred_dth;pred_svch;pred_agg1;pred_agg2;pred_agg3;checked;category
0;PACKAGE;lunrjs.com;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;PACKAGE;1;PACKAGE
1;DOCS;doc.ubuntu-fr.org;PACKAGE;NOCLASS;PACKAGE;PACKAGE;PACKAGE;DOCS;1;DOCS
2;NEWS;glitch.com;NEWS;NEWS;NOCLASS;NEWS;NEWS;NEWS;0;REPL
3;DOCS;augury.angular.io;REPL;REPL;REPL;REPL;REPL;REPL;0;PACKAGE
4;THEME;www.owasp.org;PACKAGE;NEWS;NEWS;NEWS;NEWS;NEWS;0;REVIEWS
5;NEWS;nwjs.io;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;0;PACKAGE
6;SENGINE;twitter.com;THEME;SENGINE;PACKAGE;PACKAGE;SENGINE;SENGINE;0;COMMUITY
7;NEWS;reactivex.io;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS;0;PACKAGE
8;PACKAGE;cli.angular.io;PACKAGE;NOCLASS;NOCLASS;NOCLASS;NOCLASS;NOCLASS;1;PACKAGE
9;BUSINESS;bookshelfjs.org;NOCLASS;PACKAGE;PACKAGE;PACKAGE;PACKAGE;BUSINESS;1;PACKAGE
10;NEWS;stepansuvorov.com;NEWS;NEWS;NEWS;NEWS;NEWS;NEWS;1;NEWS
11;PACKAGE;docs.mongodb.com;PACKAGE;DOCS;PACKAGE;PACKAGE;PACKAGE;DOCS;1;DOCS
12;NOCLASS;docs.oracle.com;NOCLASS;DOCS;NOCLASS;NOCLASS;NOCLASS;DOCS;1;DOCS
