platform,class,check,newclass
query.yahooapis.com,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
quotes.stormconsultancy.co.uk,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
raw.githubusercontent.com,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
repl.it,learn|tutorial|course|training| tips|example,0,(text )?editor|interpreter|repl
sacha.me,api|package|framework|librar|stack|licens|addon|app,0,blog|media|news|articl|content|post|journal
scrollrevealjs.org,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
simpleweatherjs.com,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
startbootstrap.com,api|package|framework|librar|stack|licens|addon|app,0,design|galler|template|theme
static.jsbin.com,api|package|framework|librar|stack|licens|addon|app,0,(text )?editor|interpreter|repl
toddmotto.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
tutorialrepublic.com,learn|tutorial|course|training| tips|example,1,learn|tutorial|course|training| tips|example
w3layouts.com,api|package|framework|librar|stack|licens|addon|app,0,design|galler|template|theme
w3lessons.info,api|package|framework|librar|stack|licens|addon|app,0,---
w3schools.com,learn|tutorial|course|training| tips|example,1,learn|tutorial|course|training| tips|example
wordpress.org,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
wordpress.stackexchange.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
www.codecademy.com,learn|tutorial|course|training| tips|example,1,learn|tutorial|course|training| tips|example
www.codewars.com,learn|tutorial|course|training| tips|example,1,learn|tutorial|course|training| tips|example
www.codexworld.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
www.crossorigin.me,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
www.digitaltrends.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
www.edx.org,learn|tutorial|course|training| tips|example,1,learn|tutorial|course|training| tips|example
www.helloerik.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
www.html5canvastutorials.com,learn|tutorial|course|training| tips|example,1,learn|tutorial|course|training| tips|example
www.htmlhelp.com,learn|tutorial|course|training| tips|example,1,learn|tutorial|course|training| tips|example
www.ibm.com,blog|media|news|articl|content|post|journal,0,on?(-|\s)?demand|business|compan(y|ies)|enterprise
www.khanacademy.org,learn|tutorial|course|training| tips|example,1,learn|tutorial|course|training| tips|example
www.standardista.com,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
www.the-art-of-web.com,learn|tutorial|course|training| tips|example,1,learn|tutorial|course|training| tips|example
www.theodinproject.com,learn|tutorial|course|training| tips|example,1,learn|tutorial|course|training| tips|example
www.tutorialrepublic.com,learn|tutorial|course|training| tips|example,1,learn|tutorial|course|training| tips|example
www.udacity.com,learn|tutorial|course|training| tips|example,1,learn|tutorial|course|training| tips|example
www.utexas.edu,learn|tutorial|course|training| tips|example,1,learn|tutorial|course|training| tips|example
youmightnotneedjquery.com,api|package|framework|librar|stack|licens|addon|app,0,learn|tutorial|course|training| tips|example
zeptojs.com,api|package|framework|librar|stack|licens|addon|app,1,api|package|framework|librar|stack|licens|addon|app
zerosixthree.se,blog|media|news|articl|content|post|journal,1,blog|media|news|articl|content|post|journal
